iso_code,continent,location,total_cases,new_cases,total_deaths,new_deaths,icu_patients
UZB,Asia,Uzbekistan,237476,38,1637,0,
VUT,Oceania,Vanuatu,753,273,1,0,
VAT,Europe,Vatican,29,0,,,
VEN,South America,Venezuela,519670,250,5668,2,
VNM,Asia,Vietnam,7958048,166207,41880,63,
WLF,Oceania,Wallis and Futuna,454,0,7,0,
OWID_WRL,,World,470736464,1023012,6077531,2971,
YEM,Asia,Yemen,11801,2,2140,0,
ZMB,Africa,Zambia,315623,127,3962,0,
ZWE,Africa,Zimbabwe,244452,440,5426,0,
